Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Please upload iyer transfar to chennai...... please please please please........😢😢😢😢😢,UgzVbgioiqlKt4XQ2NN4AaABAg,0,4
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Pakistan ma full epsoled keyo bhand ha,Ugzwoi_IK122uwJNM754AaABAg,1,5
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Sunita ke sabji maehenge thye firbi unnone sabji karide par Abdul to ghar ke jesa hai aur society wale Abdul se discount mangrahehe😍😓👍🤔🤔😏😏,UgzMYP5Ls-jBl5AKPEB4AaABAg,11,302
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Sobai soodho amar torof thakha tarak mahata ka olta chaasma ke salam naban,UgyePaEdrczz2VJRcrl4AaABAg,0,2
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Who misses daya like me?,UgwIV2tIoam0WURho_N4AaABAg,3,94
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Jethalal my best😘😘😘😘😻😻❤❤❤,UgxldsPV8O5sil1kjpN4AaABAg,0,12
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Sirf 5 rupe ke liye ittni kanjusi 🤔waise to aaj jethalal ne tapu ko 1000 rupe diye aur appne bacchoun ko to sab 500 nh to 1000 dete h lekin abdul ko kyu nh kya wo nh caahte ke wo bhi unki tarha life jiye 😥,UgyDAHwWerFimmKaCW54AaABAg,0,5
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Very.entellyjyenttapu,UgzIuECSuJm9-Ob2pRd4AaABAg,0,2
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,plz come to deya,Ugzv0hJtkzSl1wxbXlZ4AaABAg,0,16
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,I Love taarak mehta ka serial,UgyQi-eJ4LFA-8XFNTd4AaABAg,0,0
