Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes,clean_comments,language
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,They are so disrespectful to abdul,UgzbbzT8rtatX6083Ap4AaABAg,1,28,They are so disrespectful to abdul,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,I LOVE TAARAK MEHTA KA OOLTAH CHASMAH.,Ugylh5IrnBB_DqlKnG14AaABAg,0,3,I LOVE TAARAK MEHTA KA OOLTAH CHASMAH.,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,They are wearing make up of thousand rs of foreign brand and worried about 5 rs extra for Indian milk brand,UgypXbVhqg0_JJDB7954AaABAg,4,124,They are wearing make up of thousand rs of foreign brand and worried about 5 rs extra for Indian milk brand,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Jethalal not fikre about 5$  great they are best family,UgxlhwvAS7kZ1DrI3mp4AaABAg,0,7,Jethalal not fikre about 5$  great they are best family,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Jethalal is best respected Abdul,UgycEqXNQy2o_mA4_Gp4AaABAg,2,45,Jethalal is best respected Abdul,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,I Love TARAK MEHTA KA ULTA CHASHMA😍😍😍😍❤💙💖💕💔💓💜💗💘💟💞,UgwDicujzjDeKlbfDl14AaABAg,0,24,I Love TARAK MEHTA KA ULTA CHASHMA,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Change tappu we want previous tappu,Ugyp0zXZTOzM35N-XSp4AaABAg,2,12,Change tappu we want previous tappu,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,I love I love Taarak Mehta allot it is my favourite I really really really really really love Taarak Mehta Ka Ooltah Chashmah it is lots of fun it is full of fun I like it sometime there is fight between everyone and they also solve it is awesome it is great I really love it,UgyfUojMMho_HQFX9cZ4AaABAg,2,26,I love I love Taarak Mehta allot it is my favourite I really really really really really love Taarak Mehta Ka Ooltah Chashmah it is lots of fun it is full of fun I like it sometime there is fight between everyone and they also solve it is awesome it is great I really love it,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Please upload iyer transfar to chennai...... please please please please........😢😢😢😢😢,UgzVbgioiqlKt4XQ2NN4AaABAg,0,4,Please upload iyer transfar to chennai...... please please please please........,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Pakistan ma full epsoled keyo bhand ha,Ugzwoi_IK122uwJNM754AaABAg,1,5,Pakistan ma full epsoled keyo bhand ha,en
