Video ID,Comment ID,comments
83gpD0QwREc,Ugyv5Q7TbahY9Z9NL-J4AaABAg,Who  is  seeing  in  the  lockdown
83gpD0QwREc,Ugw6Ap50d-eJIzP4Q1x4AaABAg,Tarak    mehita  show    Good  comedy  show
83gpD0QwREc,UgynB-BQbj3oxzD7gH94AaABAg,I  think  that  Abdul  should  have  told  everybody  before    He  said  last  month  it  was  hiked    So  on  the  very  date  itself  he  should  have  told  everybody  about  the  price  increase  
83gpD0QwREc,Ugy2o63jBzna_Tjpiud4AaABAg,Nice  viedo  and  price
83gpD0QwREc,Ugx7E-CE5pkuq2MmN094AaABAg,Love  you  babita  jiethics
83gpD0QwREc,UgxqSBMt0JxQFZIFIth4AaABAg,Milk  to  thik  hai  bide  bhy  lekin  sabji  no  correct
83gpD0QwREc,Ugw3dQvXm4_nCKAxHcd4AaABAg,This  so  is  very  very  very  very  nice
83gpD0QwREc,UgzG009KV4K8GPMQDZd4AaABAg,Me  after  watching  a  TMKOC  episode    SENSE  KIDR  HAI  BC  
83gpD0QwREc,UgwIWyRKzAJUAgH8YzZ4AaABAg,Komedy  is  dead  
83gpD0QwREc,UgzJcp2X8zhJ18d8ZHJ4AaABAg,It  is  really  nonsense
83gpD0QwREc,Ugy3gR-VjyUd_HlENA54AaABAg,Bhai  maldhari  bhav  bdate  he  to  sbko  problum  hoti  he  of  dusri  chijo  ka  bhav  aap  bdarhe  ho  uska  keya
83gpD0QwREc,UgyoG8uIrMCfHODvOJ14AaABAg,After  lockdown  Goa  dairies  bolke  video  Anne  wala  he  toh  mere  channel  KO  subscribe  karlo  aur  enjoy  karo
83gpD0QwREc,UgycbKM2G6c_TS-NVMB4AaABAg,Niche  in                7056271207        years    of    experience
83gpD0QwREc,UgyMR18THYzgMIECS2x4AaABAg,Nice  think  Atmaram
83gpD0QwREc,UgxT-9xr2pSqlOttVS54AaABAg,Babita  need  no  makeup      she  is  already  beautiful  
83gpD0QwREc,UgwzyMH9D2Q7b98FRop4AaABAg,Te  rit
83gpD0QwREc,Ugy5w1CPxy5QIpQEaQ94AaABAg,Vtrrfggtg  y                  ghb  is      i  don't  6AM  in  new  Orleans  for  the  future  and  the  other  day  I  think  it  will  take  time  for  a  year  or
83gpD0QwREc,UgxBD6r9jxxaz2nFBC14AaABAg,Jetha  is  best
83gpD0QwREc,UgzYKm267EwJB0jCDcl4AaABAg,Vvery  funny  right
83gpD0QwREc,UgxCoQkugRVcEM70Irl4AaABAg,Good  morning
83gpD0QwREc,UgzGNqs-cQhATW5L3Ut4AaABAg,Nice  episode  i  really  like  jethalal  chracter
83gpD0QwREc,Ugxf5waPgW6E-l7wkbV4AaABAg,I  hate  new  Tappu
83gpD0QwREc,UgwL-nyet1dts1JZIrR4AaABAg,Only  jethalal  is  respect  to  abdul  but  everyone  is  not  respect  to  abdul  why  
83gpD0QwREc,UgyzgA7oFhgjR19Bg5h4AaABAg,Who  is  seeing  this  now  
83gpD0QwREc,UgycUD2zpevggbbH5nh4AaABAg,You  think  about  yourself  then  what  farmer  will  doo  
83gpD0QwREc,UgzC4KTebiBHCnHY8SN4AaABAg,Tmkoc  has  changed        there's  no  sense  and  too  much  overacting
83gpD0QwREc,Ugx-UscSVG7mQho7Xh54AaABAg,gross  stupidity            script  writer  was  on  vacation  probably      
83gpD0QwREc,Ugz_rOEjZzGL9_FaXax4AaABAg,Sorry  Tapu
83gpD0QwREc,Ugzv822M4KGkXeBC9Pl4AaABAg,Nice  to
83gpD0QwREc,Ugw6SY-Ys_O8yA3b1gt4AaABAg,400th  comment
83gpD0QwREc,UgxmZ2SxszPNla2gBZB4AaABAg,Sachin  Kumar  Rathod  love  you
83gpD0QwREc,Ugw9Ipgp5eoTPjkxevl4AaABAg,Where  is  tay
83gpD0QwREc,Ugw31GeO802j3I7XkKp4AaABAg,Tapu  is  so  cute  and  sonu  is  the    wife  of  the  tapu
83gpD0QwREc,Ugxgi7omPK9_eHIbp_V4AaABAg,Day  and  I  am  not  sure
83gpD0QwREc,UgzkAyWDDndsEaWKI0d4AaABAg,Hi  all  your  browser
83gpD0QwREc,UgxNPlrRwMDl233OeJN4AaABAg,Jay  free  fire
83gpD0QwREc,Ugz7YkpHgssOjFI9ieV4AaABAg,Greedy  selfish  members  
83gpD0QwREc,UgywY6_3N5Qi-c06CxN4AaABAg,Don  t  unlike  this
83gpD0QwREc,UgwV6QjFvwV0Vltag1l4AaABAg,Everyone  is  desrespact  full  toward  Abdul  except  jethalal
83gpD0QwREc,Ugy60qpSbwkVJ6PHo-V4AaABAg,Who  don't  like  new  Tappu  because  of  his  overacting  and  acting
83gpD0QwREc,UgxDNShdfmKAKxEYhsZ4AaABAg,Tappu  overacting  krta  h        
